*.uuid,*.event,*.properties.api,*.properties.$lib_version,*.properties.platform,*.properties.database,*.properties.auth,*.properties.$geoip_disable,*.properties.backend,*.properties.packageManager,*.properties.$lib,*.properties.dbSetup,*.properties.addons.0,*.properties.addons.1,*.properties.addons.2,*.properties.node_version,*.properties.runtime,*.properties.git,*.properties.orm,*.properties.cli_version,*.properties.install,*.properties.frontend.0,*.properties.$sent_at,*.properties.$transformations_succeeded.0,*.properties.$transformations_succeeded.1,*.timestamp,*.team_id,*.distinct_id,*.elements_chain,*.created_at,*.properties.examples.0,*.properties.examples.1,*.properties.addons.3,*.properties.frontend.1,*.properties.addons.4,*.properties.addons.5,*.properties.$ip,*.properties.timestamp,*.properties.projectDir,*.properties.projectName,*.properties.relativePath,event,person_display_name -- Person.display_name,person_display_name -- Person.id,"coalesce(properties.$current_url, properties.$screen_name) -- Url / Screen",properties.$lib,timestamp
01971a7a-848e-7331-bb36-ceaaafe42d79,project_created,orpc,4.18.0,linux,sqlite,True,True,next,bun,posthog-node,none,biome,husky,pwa,v22.14.0,bun,False,drizzle,2.14.1,True,next,2025-05-29T05:18:46.415Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 05:18:49.216000+00:00,162968,cli_f12f5f67cfdc4ebaaf7f4bd9d0909936,,2025-05-29 05:18:49.890000+00:00,todo,,starlight,,tauri,turborepo,,,,,,project_created,cli_f12f5f67cfdc4ebaaf7f4bd9d0909936,1ec1ac39-7456-5d05-980f-53a70db6f5fb,,posthog-node,2025-05-29 05:18:49.216000+00:00
01971a77-2371-780d-b2be-a9f9a3da1332,project_created,trpc,4.18.0,win32,sqlite,False,True,hono,pnpm,posthog-node,none,turborepo,,,v22.14.0,node,True,drizzle,2.14.0,True,next,2025-05-29T05:15:04.946Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 05:15:05.581000+00:00,162968,cli_1748495704939_15dac8e61a244b6ea3d8dc51dbd397a1,,2025-05-29 05:15:05.862000+00:00,todo,,,,,,,,,,,project_created,cli_1748495704939_15dac8e61a244b6ea3d8dc51dbd397a1,a9a51e28-1c4a-5d48-bde4-2136dc9f5f61,,posthog-node,2025-05-29 05:15:05.581000+00:00
01971a5f-532f-7f4c-ba17-be491a9eef12,project_created,orpc,4.18.0,darwin,postgres,True,True,hono,npm,posthog-node,neon,turborepo,biome,,v23.7.0,node,True,drizzle,2.14.1,True,tanstack-start,2025-05-29T04:49:04.303Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 04:49:06.351000+00:00,162968,cli_b08bd657e8b24bd9a99a6b12d2d96932,,2025-05-29 04:49:08.692000+00:00,,,,,,,,,,,,project_created,cli_b08bd657e8b24bd9a99a6b12d2d96932,94951206-06d7-5517-84b9-98aa9186f5c7,,posthog-node,2025-05-29 04:49:06.351000+00:00
01971a56-2548-7a9e-a8a2-c9148038e463,project_created,none,4.18.0,darwin,postgres,True,True,hono,pnpm,posthog-node,none,biome,starlight,tauri,v22.15.0,bun,False,none,2.14.1,True,tanstack-router,2025-05-29T04:39:02.728Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 04:39:04.846000+00:00,162968,cli_45c0b5880c6a41c69b3027860b40723f,,2025-05-29 04:39:05.026000+00:00,,,,native-nativewind,,,,,,,,project_created,cli_45c0b5880c6a41c69b3027860b40723f,feeebe84-ed71-51e1-8ed8-d8b576032b9e,,posthog-node,2025-05-29 04:39:04.846000+00:00
01971a2f-3e91-7b6a-82ca-6f7db98a0da0,project_created,orpc,4.18.0,darwin,mysql,True,True,hono,bun,posthog-node,none,turborepo,,,v22.14.0,bun,True,drizzle,2.14.0,True,tanstack-router,2025-05-29T03:56:33.297Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 03:56:33.598000+00:00,162968,cli_1748490993295_c8ade56ee0124c5a8927d820c1500e8c,,2025-05-29 03:56:33.824000+00:00,todo,,,,,,,,,,,project_created,cli_1748490993295_c8ade56ee0124c5a8927d820c1500e8c,110973f3-8660-5291-9507-d25558aecb2b,,posthog-node,2025-05-29 03:56:33.598000+00:00
01971a23-b00b-7ff3-93b2-b485fcb063cb,project_created,trpc,4.18.0,darwin,none,False,True,next,bun,posthog-node,none,,,,v23.9.0,bun,True,none,2.14.0,True,next,2025-05-29T03:43:55.915Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 03:43:57.717000+00:00,162968,cli_1748490235912_6569285093594054afbbee561c883404,,2025-05-29 03:43:58.076000+00:00,ai,,,,,,,,,,,project_created,cli_1748490235912_6569285093594054afbbee561c883404,395e768d-4f4c-59e8-8c5e-b600021c2040,,posthog-node,2025-05-29 03:43:57.717000+00:00
01971a0a-6e9e-7bb9-beca-cfc72fb2d65b,project_created,trpc,4.18.0,darwin,postgres,True,True,hono,bun,posthog-node,none,turborepo,biome,,v23.8.0,bun,True,drizzle,2.14.0,True,next,2025-05-29T03:16:20.767Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 03:16:22.132000+00:00,162968,cli_1748488580762_b3f80415fb424779ba9203d8191966f3,,2025-05-29 03:16:24.709000+00:00,todo,ai,,,,,,,,,,project_created,cli_1748488580762_b3f80415fb424779ba9203d8191966f3,34d19e1e-961f-566a-acaf-84dcbcc292c6,,posthog-node,2025-05-29 03:16:22.132000+00:00
01971a03-24c9-758b-9d32-6624c006bfe1,project_created,orpc,4.18.0,darwin,sqlite,True,True,hono,bun,posthog-node,none,turborepo,biome,husky,v20.10.0,bun,True,prisma,2.14.0,True,next,2025-05-29T03:08:23.114Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 03:08:24.795000+00:00,162968,cli_1748488103108_05ee45ab206b4d5dbbaaa8bf545d8fc1,,2025-05-29 03:08:26.482000+00:00,todo,,,,,,,,,,,project_created,cli_1748488103108_05ee45ab206b4d5dbbaaa8bf545d8fc1,f2ec1a10-b40e-5d27-8f9e-50d94eedf23d,,posthog-node,2025-05-29 03:08:24.795000+00:00
019719f3-81ad-75dd-bd85-f72f4237efa3,project_created,orpc,4.18.0,darwin,mongodb,True,True,hono,bun,posthog-node,mongodb-atlas,turborepo,biome,husky,v20.10.0,bun,True,prisma,2.14.0,True,next,2025-05-29T02:51:18.318Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 02:51:19.464000+00:00,162968,cli_1748487078309_5c640be448cc4f4f97804caf67ba2358,,2025-05-29 02:51:19.748000+00:00,todo,,,native-nativewind,,,,,,,,project_created,cli_1748487078309_5c640be448cc4f4f97804caf67ba2358,57075098-2318-5b43-ab52-98c4866e52f1,,posthog-node,2025-05-29 02:51:19.464000+00:00
019719c8-6e0f-7b4b-9197-41700805927d,project_created,none,4.18.0,darwin,none,False,True,convex,bun,posthog-node,none,biome,turborepo,,v23.11.0,none,True,none,2.14.0,True,next,2025-05-29T02:04:15.248Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 02:04:15.403000+00:00,162968,cli_1748484255242_2f815d5bd899445e8e645264ebee635a,,2025-05-29 02:04:15.684000+00:00,todo,,,native-nativewind,,,,,,,,project_created,cli_1748484255242_2f815d5bd899445e8e645264ebee635a,6a1d1b46-c197-5a75-a6d1-076acd409f8c,,posthog-node,2025-05-29 02:04:15.403000+00:00
0197199c-9e23-7cf3-8c5c-aaf0fa978216,project_created,orpc,4.18.0,linux,postgres,True,True,elysia,bun,posthog-node,none,biome,husky,turborepo,v22.15.0,bun,True,drizzle,2.14.0,True,native-nativewind,2025-05-29T01:16:23.971Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 01:16:24.187000+00:00,162968,cli_1748481383966_7f300ae71cd04c918d5745cf36076306,,2025-05-29 01:16:24.379000+00:00,,,,,,,,,,,,project_created,cli_1748481383966_7f300ae71cd04c918d5745cf36076306,70bafac6-b6c3-59c1-97b7-c32524f84f23,,posthog-node,2025-05-29 01:16:24.187000+00:00
01971995-228f-7eb8-baa6-7fc0900f7b15,project_created,none,4.18.0,darwin,none,False,True,convex,bun,posthog-node,none,biome,husky,turborepo,v23.11.0,none,True,none,2.14.0,True,tanstack-router,2025-05-29T01:08:13.584Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 01:08:13.786000+00:00,162968,cli_1748480893580_b3f162f927874a548ff9e56d3021d7e4,,2025-05-29 01:08:14.002000+00:00,todo,,,,,,,,,,,project_created,cli_1748480893580_b3f162f927874a548ff9e56d3021d7e4,51d17e83-8ad0-5db2-bbfd-f6d2b8f67ea4,,posthog-node,2025-05-29 01:08:13.786000+00:00
01971994-a575-70ab-b2b5-fe50933c530d,project_created,none,4.18.0,darwin,none,False,True,convex,bun,posthog-node,none,turborepo,,,v23.11.0,none,True,none,2.14.0,True,tanstack-router,2025-05-29T01:07:41.557Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 01:07:41.774000+00:00,162968,cli_1748480861554_6e28ddfac8e64a2d92d8bf583b4fb322,,2025-05-29 01:07:42.014000+00:00,todo,,,,,,,,,,,project_created,cli_1748480861554_6e28ddfac8e64a2d92d8bf583b4fb322,76fd92dd-7d03-55dd-96ed-a86d9a137f5e,,posthog-node,2025-05-29 01:07:41.774000+00:00
01971988-b1b4-750f-b4e9-4aa2af85eb1a,project_created,trpc,4.18.0,linux,sqlite,True,True,hono,bun,posthog-node,turso,biome,husky,pwa,v22.4.1,bun,True,drizzle,2.14.0,True,tanstack-router,2025-05-29T00:54:38.261Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 00:54:37.966000+00:00,162968,cli_1748480078253_63501860a5bc4ebf85eb45deef03fae2,,2025-05-29 00:54:38.503000+00:00,todo,,turborepo,,,,,,,,,project_created,cli_1748480078253_63501860a5bc4ebf85eb45deef03fae2,c94e2788-e6ba-508c-8a3f-18708c455ae1,,posthog-node,2025-05-29 00:54:37.966000+00:00
